235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Villupuram,SHANMUGAM C VE,69421,,,,,JAYAKUMAR RAMA,2188,VENGATESAN L,24907,KALIAMOORTHY G KARUNCHIRUTHAI,456,SUBRAMANI K,1231,PALANIVEL P,36456,,,,,,,,,None of the Above,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEYACHANDRAN J,265,,,,,,,,,,,,,,,,,,,RAMAKRISHNAN R,180,,,,,,,,,,,AMEER ABBAS S M,47130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5029,All India Anna Dravida Munnetra Kazhagam,Indian Union Muslim League,Pattali Makkal Katchi,36456,Desiya Murpokku Dravida Kazhagam,24907,Bharatiya Janata Party,Naam Tamilar Katchi,22291,11.80%,Third,36.74%,24.94%,13.18%,1.16%,19.29%,0.65%,-26.52%,188964
Vikravandi,VELU R,56845,RATHAMANI.K,63757,,,AADHAVAN. S,1291,,,MURUGADOSS A,467,SARAVANAKUMAR. S,594,ANBUMANI. C,41428,,,,,,,,,None of the Above,1385,,,,,,,,,,,,,,,,,,,RAMAMURTHY R,9981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAVICHANDRAN. A,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2732,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,41428,Communist Party of India  (Marxist),9981,Bharatiya Janata Party,Independent,6912,3.87%,Third,31.82%,35.69%,5.59%,0.72%,23.19%,0.33%,-28.62%,178637
Tirukkoyilur,GOTHANDARAMAN G,52780,PONMUDY K,93837,,,DHANDAPANI S,1178,,,,,RAJASEKAR D,732,BALASAKTHI,18822,,,,,,,,,None of the Above,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANESH G,15045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3934,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,18822,Tamil Maanila Congress  (Moopanar),15045,Independent,Bharatiya Janata Party,41057,21.79%,unknown,28.01%,49.80%,7.98%,0.63%,9.99%,0.39%,-0.41%,188438
Ulundurpettai,KUMARAGURU  R.,81973,VASANTHAVEL  G.R.,77809,,,,,VIJAYKANT,34447,CHANDRASEKARAN  N.,856,DESINGH  S.,524,BALU  K.,20233,RAJENDRAN  S.,293,RAMALINGAM  G.,310,VENKATESAN  M.,274,,,None of the Above,829,,,,,,,,,,,SURIYA PRAKASH  M.,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9802,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,34447,Pattali Makkal Katchi,20233,Independent,Independent,4164,1.83%,Third,36.04%,34.21%,15.14%,0.13%,8.89%,0.23%,-27.93%,227476
Rishivandiyam,DHANDAPANI.K,72104,KARTHIKEYAN.K,92607,,,,,VINCENT JAYARAJ.VJP,14239,SAKTHIVEL.S,918,MUNIYAN.K,782,PANDIYAN.KP,8148,SENTHILKUMAR.M,406,,,,,,,None of the Above,867,unknown,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELUMALAI.N,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6268,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,14239,Pattali Makkal Katchi,8148,Independent,Independent,20503,10.42%,Fourth,36.66%,47.08%,7.24%,0.21%,4.14%,0.40%,-5.84%,196697
Sankarapuram,MOHAN P,76392,UDHAYASURIYAN.T,90920,,,,,GOVINTHAN.R,13343,MANNAN M P,572,SANKAR S,663,SIVARAMAN S,13612,SARATHI K,315,RAJENDRAN S,1189,,,,,None of the Above,1032,,,,,,,,,OVIYAR ANANDH C,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABDUL GAFOOR.G,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHANAM K,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3663,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,13612,Desiya Murpokku Dravida Kazhagam,13343,Kongunadu Makkal Desia Katchi,Independent,14528,7.15%,Fourth,37.58%,44.72%,6.56%,0.15%,6.70%,0.33%,-10.55%,203295
Kallakurichi,PRABHU A,90108,KAMARAJ P,86004,,,,,,,,,MARIYAPPAN C,1181,SENTHAMILSELVI R,9736,ELAYAPERUMAL K,1309,CHANDIRAN R,1892,,,,,None of the Above,3008,,,,,RAMAMOORTHTHY  S,17492,,,RAMAR  S,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2835,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,17492,Pattali Makkal Katchi,9736,Independent,Kongunadu Makkal Desia Katchi,4104,1.92%,Third,42.16%,40.24%,8.18%,0.61%,4.56%,0.55%,-15.68%,213719
Gangavalli,MARUTHAMUTHU.A,74301,REKHA PRIYADHARSHINI.J,72039,,,SIVAGAMI PARAMASIVAM. DR,2023,SUBA.R,7114,,,SENTHILKUMAR.P,921,SHANMUGAVEL MURTY.A,10715,,,GANESAN.A,3786,,,,,None of the Above,1766,,,,,,,,,,,,,,,,,,,,,,,KUMAR.V,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUTHULAKSHMI.P,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2967,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,10715,Desiya Murpokku Dravida Kazhagam,7114,Kongunadu Makkal Desia Katchi,Bharatiya Janata Party,2262,1.29%,Third,42.22%,40.94%,4.04%,1.15%,6.09%,0.52%,-15.56%,175981
Attur,CHINNATHAMBI R M,82827,,,ARTHANARI S K,65493,,,,,MARIYAPPAN M P,947,SATHISHBABU S,1531,AMSAVENI G,18363,SELLADURAI R,1747,JAYASEELAN R,2413,,,,,None of the Above,2742,,,,,ADHITHYAN K P,8532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MURUGESAN C,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1946,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,18363,Viduthalai Chiruthaigal Katchi,8532,Kongunadu Makkal Desia Katchi,Indiya Jananayaka Katchi,17334,9.28%,Third,44.34%,35.06%,4.57%,0.94%,9.83%,0.82%,-11.31%,186788
Yercaud,CHITRA.G,100562,TAMILSELVAN.C,83168,,,PON RASA,2225,KUMAR.C,10455,,,SENGOTTUVEL.T,1265,SELVAM.R,17998,,,PRABHAVATHY.L,958,,,,,None of the Above,3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2799,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,17998,Desiya Murpokku Dravida Kazhagam,10455,Bharatiya Janata Party,Naam Tamilar Katchi,17394,7.82%,Third,45.18%,37.37%,4.70%,1.00%,8.09%,0.57%,-9.63%,222566
Omalur,VETRIVEL.S,89169,AMMASI.S,69213,,,,,ELANGOVAN.A.R,9744,SADAIYAN.M,633,RAMESH.V,944,TAMILARASU.A,48721,GOVINDARAJ.S,1030,SARAVANAN.P,1111,,,,,None of the Above,1739,,,,,,,,,,,,,,,,,,,,,RAGUPATHI.P.M,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4454,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,48721,Desiya Murpokku Dravida Kazhagam,9744,Independent,Kongunadu Makkal Desia Katchi,19956,8.78%,Third,39.23%,30.45%,4.29%,0.45%,21.44%,0.42%,-21.54%,227295
Mettur,SEMMALAI.S,72751,PARTHIBAN.S.R,66469,,,BALASUBRAMANIAN.P,1428,BOOPATHY.R,5892,MATHAYAN.C,174,VENKATACHALAM.N,981,MANI.G.K,49939,,,RAJAGOUNDER.A,1345,,,,,None of the Above,1829,,,,,,,,,,,,,,,,,,,,,GOPALAN.M,826,,,,,,,,,,,,,,,,,,,,,,,,,,,SEVANTHI.V,783,,,,,,,,,,,,,,,,,,,,,,,,,,,KARUNAKARAN M.V,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4889,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,49939,Desiya Murpokku Dravida Kazhagam,5892,Bharatiya Janata Party,Kongunadu Makkal Desia Katchi,6282,3.03%,Third,35.05%,32.02%,2.84%,0.69%,24.06%,0.47%,-29.90%,207574
Edappadi,PALANISWAMI. K,98703,MURUGESAN. P.A.,55149,,,,,,,,,RAMESH. K,971,ANNADURAI. N,56681,VENKATESAN. M,363,SRINIVASAN. N,959,,,,,None of the Above,1913,,,,,,,,,,,,,,,,,,,THANGAVEL. P,5437,PALANISAMY. K,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THIRUMOORTHY. K,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3349,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,Dravida Munnetra Kazhagam,55149,Communist Party of India  (Marxist),5437,Nationalist Congress Party,Naam Tamilar Katchi,42022,18.62%,Third,43.74%,24.44%,2.41%,0.16%,25.12%,0.43%,-13.19%,225644
Sankari,RAJA.S,96202,,,RAJESWARAN.T.K,58828,MURUGESAN.A.C,3184,,,,,JANAKI.V,1521,KANNAN.P,37927,,,SARAVANAN.K,5091,,,,,None of the Above,2934,unknown,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELVAKUMAR.K,5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4315,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,37927,Tamil Maanila Congress  (Moopanar),5633,Kongunadu Makkal Desia Katchi,Bharatiya Janata Party,37374,17.31%,Third,44.57%,27.25%,2.61%,1.48%,17.57%,0.70%,-10.87%,215863
Salem (West),VENKATACHALAM.G,80755,PANNEER SELVAM.C.,73508,,,,,ALAGAAPURAM R. MOHANRAJ,8962,,,RASA.A,1374,ARUL.R,29982,HARIHARAN.K.R,554,VENKATACHALAM.R,857,,,,,None of the Above,3107,,,,,,,,,,,,,,,,,,,,,,,ARIVAZHAGAN.P,172,,,,,,,,,BALAMURUGAN.G,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2941,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,29982,Desiya Murpokku Dravida Kazhagam,8962,Naam Tamilar Katchi,Kongunadu Makkal Desia Katchi,7247,3.58%,Third,39.88%,36.30%,4.43%,0.27%,14.81%,0.68%,-20.23%,202478
Salem (North),SARAVANAN.K.R.S,76710,RAJENDRAN.R,86583,,,GOPINATH.R.P,5922,,,PONNUSAMY.V,99,KOVENDHAN.R,1954,KATHIR RAASARATINAM,7975,,,SENKOTTUVEL.C,339,,,,,None of the Above,4009,unknown,81,,,,,,,,,,,,,,,,,,,SARAVANAN.M,431,,,,,,,,,,,LATHA.B,182,,,,,,,,,AMJATH BASHA.A,471,,,DEVADASS.R,4157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PONNUTHAMBI.S,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2776,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,7975,Bharatiya Janata Party,5922,Tamil Maanila Congress  (Moopanar),Naam Tamilar Katchi,9873,5.15%,Fourth,39.99%,45.14%,2.17%,3.09%,4.16%,1.02%,-9.72%,191820
Salem (South),SAKTHIVEL A B,101696,GUNASEKARAN M,71243,,,ANNADURAI N,4686,,,SOLARAJAN M,469,PREMA B,1788,KUMAR K,6325,,,ELANGO R C,470,,,,,None of the Above,4121,,,,,JAYACHANDRAN G,3983,,,,,,,,,,,,,,,RAMESH KUMAR N,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHALINGAM N,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2891,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,6325,Bharatiya Janata Party,4686,Viduthalai Chiruthaigal Katchi,Naam Tamilar Katchi,30453,15.39%,unknown,51.39%,36.00%,2.01%,2.37%,3.20%,0.90%,2.78%,197889
Veerapandi,MANONMANI.P,94792,RAJENDRAN. A,80311,,,,,,,SELLAMMAL.V.M,803,SASI KUMAR.M,1233,SAMRAJ.A.R.B,17218,MOHANKUMAR. M,345,KAMARAAJ. K.P,1198,,,,,None of the Above,2828,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHAN. A,6483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1507,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,17218,Communist Party of India,6483,Naam Tamilar Katchi,Kongunadu Makkal Desia Katchi,14481,7.01%,Third,45.86%,38.85%,3.14%,0.17%,8.33%,0.60%,-8.29%,206718
Rasipuram,SAROJA V. DR,86901,DURAISAMY V.P,77270,,,KUPPUSAMY C,2375,,,,,ARUNKUMAR S,2076,PUSHPAGANDHI J,6952,,,BHARATHI P,2542,,,,,None of the Above,2795,,,,,ARJUN G,4341,,,,,,,,,,,,,,,,,,,,,,,,,,,CHINNATHAMBI K,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1353,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,6952,Viduthalai Chiruthaigal Katchi,4341,Kongunadu Makkal Desia Katchi,Bharatiya Janata Party,9631,5.15%,Fourth,46.50%,41.35%,2.32%,1.27%,3.72%,1.11%,-6.99%,186869
Senthamangalam,CHANDRASEKARAN C,91339,PONNUSAMY K,79006,,,,,SATHIYA M,5609,,,ANBUTHAMBI R,2219,SUSILA K,2447,MANIKANDAN P,749,CHINNUSAMY M,4014,,,,,None of the Above,2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1870,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,5609,Kongunadu Makkal Desia Katchi,4014,Pattali Makkal Katchi,Naam Tamilar Katchi,12333,6.49%,unknown,48.09%,41.60%,2.95%,0.39%,1.29%,1.17%,-3.81%,189917
Namakkal,BASKAR. K.P.P,89076,,,CHEZHIAN. R,75542,RAJENDRAN. V,2751,,,,,LOGANATHAN  M,2729,DURAISAMY E,2751,,,MATHESWARAN S,10506,,,,,None of the Above,3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELANGO. N,4341,YOGANATHAN. N,243,,,,,,,,,,,,,,,,,,,,,,,,,,,MUTHUSAMY. M.P,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2333,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Kongunadu Makkal Desia Katchi,10506,Tamil Maanila Congress  (Moopanar),4341,Pattali Makkal Katchi,Bharatiya Janata Party,13534,6.96%,Fourth,45.81%,38.85%,2.23%,1.41%,1.41%,1.40%,-8.38%,194441
Paramathi-Velur,RAJENDHIRAN R,73600,MOORTHIY K S,74418,,,RAJKUMAR S,4323,MUTHUKUMAR  K,6014,,,DEIVASIGAMANI G,1643,RAMESH PON,3740,,,BOOPATHI  C,5116,,,,,None of the Above,1658,unknown,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4639,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6014,Kongunadu Makkal Desia Katchi,5116,Bharatiya Janata Party,Pattali Makkal Katchi,818,0.47%,Third,41.98%,42.45%,3.43%,2.47%,2.13%,0.94%,-15.10%,175306
Tiruchengodu,SARASWATHI PON,73103,ELANGOAVAN BAR,69713,,,NAGARAJAN S,2499,VIJAYAKAMAL J,6688,,,NATARAJAN P,1968,RAJA S,2012,,,RAJAVEL NATHI S,6471,,,,,None of the Above,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIMUTHU  S,201,,,,,,,,,,,,,,,VINOTH M,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11459,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6688,Kongunadu Makkal Desia Katchi,6471,Independent,Bharatiya Janata Party,3390,1.92%,Third,41.40%,39.48%,3.79%,1.42%,1.14%,1.11%,-17.19%,176564
Kumarapalayam,THANGAMANI P,103032,YUVARAJ P,55703,,,EASWARAN K,1981,MADESHWARAN  P A,9784,KOKILA R,367,ARUNKUMAR G,2908,MURTHY S,2773,,,PONNUSAMY  R,2813,GOVINDARAJ A,246,,,None of the Above,2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAVICHANDRAN P,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELVAKUMAR G V,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3682,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,9784,Naam Tamilar Katchi,2908,Kongunadu Makkal Desia Katchi,Pattali Makkal Katchi,47329,25.36%,unknown,55.20%,29.84%,5.24%,1.06%,1.49%,1.56%,10.40%,186652
Erode (East),THENNARASU K S,64879,CHANDHIRAKUMAR V C,57085,,,RAJESHKUMAR P,5549,PONCHAIRMAN,6776,KRISHNAN P,234,ALAUDEEN A,2262,RAJENDRAN,2111,,,JAGANATHAN S,2721,,,,,None of the Above,3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SADHIK BASHA K,2176,,,,,PERUMALRAJ R,100,,,,,,,,,,,,,,,,,,,,,,,SENTHILKUMAR K,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMESH M,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,700,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6776,Bharatiya Janata Party,5549,Kongunadu Makkal Desia Katchi,Naam Tamilar Katchi,7794,5.27%,Fourth,43.83%,38.57%,4.58%,3.75%,1.43%,1.53%,-12.34%,148018
Erode (West),RAMALINGAM K.V.,82297,MUTHUSAMY S,77391,,,PALANISAMY N.P.,4177,,,VEERAPPAN C,473,JOTHIVEL T,2448,ARUMUGAM,3000,,,EASWARA MURTHY M,7477,,,,,None of the Above,3403,,,,,,,,,,,,,MURUGAN N,6624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERIYASAMY P,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THAMOTHARAN V,86,,,,,,,,,,,,,,,,,,,,,VELUSAMY P,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1514,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Kongunadu Makkal Desia Katchi,7477,Marumalarchi Dravida Munnetra Kazhagam,6624,Bharatiya Janata Party,Pattali Makkal Katchi,4906,2.59%,Third,43.46%,40.87%,3.50%,2.21%,1.58%,1.29%,-13.08%,189367
